species,common_name,functional_group,trophic_group,feeding_mode,primary_food,mobility,body_size,body_form
Pomatoschistus flavescens,Two-spotted Goby,MPS,Carnivore,Predation,Amphipods / Isopods,Mobile,Medium,Pisciform
Pomatoschistus microps,Common Goby,MPS,Carnivore,Predation,Amphipods / Isopods,Mobile,Medium,Pisciform
Pomatoschistus pictus,Painted Goby,MPS,Carnivore,Predation,Amphipods / Isopods,Mobile,Medium,Pisciform
Porcellana platycheles,Hairy Porcelain Crab,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Globose
Porifera,Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Porphyra,Laver Seaweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Foliose
Portunoidea,Swimming Crabs and Allies,MPS,Omnivore,Predation / Grazing,Crustaceans / Bivalves / Algae,Mobile,Large,Globose
Praunus flexuosus,Chameleon Shrimp,MPS,Omnivore,Predation / Grazing,Macrozooplankton / Algae,Mobile,Small,Cylindrical
Prionitis lanceolata,Bleach Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Processa edulis crassipes,Nika Shrimp,MPS,Carnivore,Predation  ,Small polychaetes,Mobile,Small,Articulate
Propebela turricula,Turreted Conelet,MPS,Carnivore,Predation  ,Ploychaete worms,Mobile,Small,Turbinate
Prostheceraeus vittatus,Candy Stripe Flatworm,MPS,Carnivore,Predation  ,Tunicates,Mobile,Medium,Lanceolate
Protosuberites,Yellow Encrusting Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Psamathe fusca,Polychaete Worm,MPS,Carnivore,Predation / Deposit feeding,Invertebrates / Detritus,Mobile,Medium,Segmented
Psammechinus miliaris,Green Sea Urchin,MPS,Omnivore,Predation / Grazing,Macroalgae / Barnacles / Hydroids,Mobile,Medium,Globose
Pseudoralfsia verrucosa,Atlantic Limpet-garden Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Psychrolutidae,Fathead Sculpins,MPS,Carnivore,Predation,Crustaceans / Molluscs,Mobile,Large,Cylindrical
Pteriomorphia,Bivalve Molluscs,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Pterocladiella capillacea,Branched wing weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Pycnogonida,Pycnogonids,MPS,Carnivore,Predation,Anemones,Mobile,Small,Segmented
Pycnogonum litorale,Littoral Sea Spider,MPS,Carnivore,Predation,Anemones,Mobile,Small,Segmented
Pyura squamulosa,Scaly Sea Squirt,SSF,Primary consumer,Suspension feeder,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Ralfsia,Ralfsia,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Rhabditophora,Rhabditophoran Flatworms,MPS,Carnivore,Predation / Deposit feeding,Invertebrates / Detritus,Mobile,Small,Lanceolate
Rhizoclonium riparium,Rooting Green Thread Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Rhodomelaceae,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Rhodophyta,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Rhodothamniella floridula,Red seaweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Rhodymenia,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Rhodymeniophycidae,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Rissoa parva,Tiny Risso Snail,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Rivularia bullata,Blistered Brook Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Rostanga rubra,Red Velvet Sea Slug,MPS,Carnivore,Predation,Red encrusting sponges,Mobile,Small,Vermiform unsegmented
Ruditapes,Marine Clams,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Ruditapes decussatus,Grooved Carpet Shell,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Ruditapes philippinarum,Manila Clam,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Sabellaria alveolata,Honeycomb Worm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous
Sabellariidae,Honeycomb Worms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous
Sabellida,Feather Duster Worms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous
Sabellidae,Feather Duster Worms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous
Sabellinae,Feather Duster Worms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous
Saccharina,Sugar Kelp,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Saccharina latissima,Sugar Kelp,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Saccorhiza,Brown Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Saccorhiza polyschides,Furbelows,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Salariinae,Combtooth Blennies,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Large,Pisciform
Sarcodiotheca gaudichaudii,Succulent Seaweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Sargassaceae,Sargassum and Allies,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Sargassum,Sargassum,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Sargassum muticum,Japanese Wireweed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Schizoporella unicornis,Single Horn Bryozoan,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Schizoporelloidea,Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard
Schizoporelloidea,Sea Mat,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Foliose
Scrobicularia plana,Peppery Furrow Shell,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Bivalved
Scytosiphon lomentaria,Beanweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Sedentaria,Sedentary and Tube-dwelling Bristle Worms,MPS,Carnivore,Predation,Salps / Cnidarians,Sessile,Medium,Tubicolous / Colonial
Semibalanus,Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Semibalanus balanoides,Northern Acorn Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Senticaudata,Scuds and Sideswimmers,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Serpulidae,Serpulid Tubeworms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tubicolous / Colonial
Sertularella polyzonias,Great Tooth Hydroid,MPS,Carnivore,Predation,Zooplankton,Sessile,Large,Dendroid
Sertularia,Hydroids,MPS,Carnivore,Predation,Zooplankton,Sessile,Large,Dendroid
Sipuncula,Peanut Worms,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform unsegmented
Solen,Razor Shells,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Solen marginatus,Grooved Razor Shell,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Solieria chordalis,Solier's Red String Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Sphaerococcus coronopifolius,False Gorgon,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Sphaeromatidae,Typical Seapills,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Cylindrical
Spionidae,Spionid Worms,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Vermiform segmented
