species,common_name,functional_group,trophic_group,feeding_mode,primary_food,mobility,body_size,body_form
Abietinaria,Coarse Sea Fir Hydroids,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium ,Dendroid
Abietinaria abietina,Hydroid,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium ,Dendroid
Acanthocardia,Cockles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Acanthocardia echinata,Prickly Cockle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Acanthocardia paucicostata,Poorly-ribbed Cockle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Acanthochitona,Mail-shell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Ovoid
Acanthochitona crinita,Bristly Mail-shell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Ovoid
Acanthochitona fascicularis,Velvety Mail-shell,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Ovoid
Acanthodoris pilosa,Hairy Spiny Dorid,MPS,Carnivore,Predation,Bryozoans,Mobile,Small,Dorid
Acotylea,Acotylean Flatworms,MPS,Carnivore,Predation,Invertebrates,Mobile,Medium,Polyclad
Acromegalomma,Fan Worm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Tubicolous
Acromegalomma vesiculosum,Fan Worm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Tubicolous
Acrosiphonia coalita,Green Rope,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Actinia,Anemone,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actinia equina,Atlantic Beadlet Anemone,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actinia fragacea,Strawberry Anemone,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actiniaria,Sea Anemones,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Actiniidae,Sea Anemones,MPS,Carnivore,Predation,Zooplankton / Small fish / Crabs,Semi-sessile,Medium,Radial
Aeolidia,Sea Slugs,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidia filomenae,Sea Slug,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidia papillosa,Grey Sea Slug ,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidiella alderi,Sea Slug,MPS,Carnivore,Predation,Anemones,Mobile,Small,Vermiform unsegmented
Aeolidiella glauca,Glauca Aeolid,MPS,Carnivore,Predation,Anemones,Mobile,Medium,Vermiform unsegmented
Aequipecten opercularis,Queen Scallop,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Semi-sessile,Medium,Bivalved
Agardhiella subulata,Agardh's red weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Aglaophamus macroura,Purple Worm,MPS,Carnivore,Predation ,Invertebrates,Mobile,Small ,Vermiform segmented
Ahnfeltia plicata,Landlady's Wig,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Ahnfeltiales,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Alcyonidium,Sea Chervil,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Dendroid
Alcyonium digitatum,Dead Man's Fingers,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Digitate
Alentia gelatinosa,Scale Worm,MPS,Carnivore,Predation,Invertebrates,Mobile,Medium,Gelatinous
Alitta succinea,Clam Worm,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Small,Vermiform segmented
Alitta virens,King Ragworm,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Large,Vermiform segmented
Amblyosyllis,Bristle Worms,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Medium,Vermiform segmented
Amblyosyllis spectabilis,Mustache Worm,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae / Detritus,Mobile,Medium,Vermiform segmented
Ammodytidae,Sand Lances,MPS,Omnivore,Predation / Grazing,Small crustaceans / Phytoplankton,Mobile,Small,Pisciform
Ammotheidae,Sea Spiders,MPS,Carnivore,Predation,Soft-bodied invertebrates,Mobile,Small,Articulate
Amphipholis,Brittle Stars,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile ,Medium,Radial / Stellate
Amphipholis squamata,Dwarf Brittle Stars,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile ,Small,Radial / Stellate
Amphipoda,Amphipods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Amphiporus lactifloreus,Milk-white Ribbon Worm,MPS,Carnivore,Predation,Amphipods / Crustaceans,Mobile,Medium,Vermiform unsegmented
Ampithoe,Amphipod,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Tubicolous
Anemonia,Anemone,MPS,Carnivore,Predation,Small fish / Crustaceans ,Semi-sessile,Medium,Radial
Anemonia viridis,Snakelocks Anemone,MPS,Carnivore,Predation,Small fish / Crustaceans ,Semi-sessile,Medium,Radial
Anguilliformes,True Eels,MPS,Carnivore,Predation,Crustaceans / Fish / Invertebrates,Mobile,Medium,Pisciform
Anomia,Oysters,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomia achaeus,Saddle Oyster,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomia ephippium,Saddle Oyster,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomiidae,Jingle Shells,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Anomura,Hermit Crab,MPS,Carnivore,Scavenging,Carrion,Mobile,Medium,Articulate
Anotrichium barbatum,Bearded Red Seaweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Anthopleura ballii,Red-speckled Anemone,MPS,Carnivore,Predation,Small invertebrates,Semi-sessile,Medium,Radial
Anthopleura thallia,Glaucous Pimplet,MPS,Carnivore,Predation,Small invertebrates,Semi-sessile,Medium,Radial
Anthozoa,Sea Anemones and Corals,MPS,Carnivore,Predation,Zooplankton / Small fish,Sessile,Small-Large,Radial
Antiopella cristata,Crested Aeolis,MPS,Carnivore,Predation,Bryozoans,Mobile,Medium,Vermiform unsegmented
Anurida maritima,Seashore Springtail,MPS,Carnivore,Scavenging,Dead crustaceans / molluscs,Mobile,Small,Cylindrical
Apletodon dentatus,Small-headed Clingfish,MPS,Carnivore,Predation,Crustaceans / Amphipods,Mobile,Medium,Pisciform
Aplidium,Sea Pork,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small-Large,Crustose soft
Aplidium elegans,Sea Strawberry,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Aplidium glabrum,Encrusting Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Aplidium pallidum,Encrusting Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Aplidium punctum,Orange Club Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Aplousobranchia,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small-Large,Crustose soft
Aplysia,Sea Slugs,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Large,Vermiform unsegmented
Aplysia depilans,Depilatory Seahare,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Large,Vermiform unsegmented
Aplysia punctata,Spotted Seahare,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Large,Vermiform unsegmented
Aplysilla,Encrusting Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Aplysilla sulfurea,Sulphur Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose soft
Archidoris pseudoargus,Sea Lemon,MPS,Carnivore,Predation,Sponges,Mobile,Large,Vermiform unsegmented
Arenicola,Polychaete Worms,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Arenicola marina,Blow Lugworm,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Arenicolidae,Lugworms,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Ascidia mentula,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Ovoid
Ascidiacea,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Ovoid
Ascidiella aspersa,European Ascidian,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Ovoid
Ascidiella scabra,hairy sea-squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Ovoid
Ascidiidae,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Ovoid
Ascophyllum nodosum,Knotted Wrack,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Asparagopsis,Red Macroalgae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Asparagopsis armata,Harpoonweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Asterias rubens,Common Sea Star,MPS,Carnivore,Predation,Bivalves / Polychaetes,Mobile,Large,Radial / Stellate
Asterina,Small Starfishes,MPS,Carnivore,Predation,Bivalves / Polychaetes,Mobile,Small,Radial / Stellate
Asterina gibbosa,Cushion Star,MPS,Carnivore,Predation,Bivalves / Polychaetes,Mobile,Medium,Radial / Stellate
Asterina phylactica,Small Cushion Star,MPS,Carnivore,Predation,Bivalves / Polychaetes,Mobile,Small,Radial / Stellate
Asterinidae,"Cushion Stars, Carpet Stars, and Allies",MPS,Carnivore,Predation,Bivalves / Polychaetes,Mobile,Medium,Radial / Stellate
Atelecyclus rotundatus,Circular Crab,MPS,Carnivore,Predation,Invertebrates,Mobile,Medium,Articulate
Athanas nitescens,Hooded Prawn,MPS,Omnivore,Predation / Grazing,Algae / Detritus / Invertebrates,Mobile,Small,Cylindrical
Atherina presbyter,Sand Smelt,MPS,Carnivore,Predation  ,Invertebrates / Crustaceans,Mobile,Large,Pisciform
Austrominius modestus,Beaked Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Autobranchia,Bivalve Molluscs,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Babakina anadoni,Rainbow Sea Slug,MPS,Carnivore,Predation,Hydroid polyps,Mobile,Small,Vermiform unsegmented
Balanidae,Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Balanomorpha,Symmetrical Sessile Barnacles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Balanophyllia,Cup Coral,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Balanophyllia regia,Gold Star Coral,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Balanus,Rock Barnacles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Balanus crenatus,Wrinkled Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Bangiaceae,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Foliose
Barnea candida,White Piddock,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Boring
Batrachospermaceae,Frog-spawn Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Filamentous
Berthella plumula,Side-Gilled Sea Slug,MPS,Carnivore,Predator,Tunicates / Sponges,Mobile,Medium,Vermiform unsegmented
Bifurcaria bifurcata,Brown Forking Weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Bispira volutacornis,Twin Fanworm,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Colonial
Bittium reticulatum,Small Needle-whelk,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Elongate conical
Bivalvia,Bivalves,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Blenniidae,Combtooth Blennies,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae,Mobile,Medium,Pisciform
Blenniiformes,Blennies and Allies,MPS,Omnivore,Predation / Grazing,Invertebrates / Algae,Mobile,Medium,Pisciform
Bonnemaisonia hamifera,Bonnemaison's Hook Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Bornetia secundiflora,Bornet's Coral Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Botrylloides,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Botrylloides diegensis,San Diego Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Botrylloides leachii,Ladder Ascidian,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Botrylloides violaceus,Chain Tunicate,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Botryllus,Star Ascidian,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Botryllus schlosseri,Star Tunicate,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose soft
Brachiopoda,Brachiopods,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Bivalved
Brachyura,True Crabs,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Detritus,Mobile,Medium,Cylindrical
Bryopsis,Hair Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Bryopsis plumosa,Hen Pen,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Filamentous
Bryozoa,Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Buccinoidea,True Whelks and Allies,MPS,Carnivore,Predation,Carrion / Bivalves,Mobile,Medium,Turbinate
Buccinum undatum,Common Whelk,MPS,Carnivore,Predation,Carrion / Bivalves,Mobile,Medium,Turbinate
Bunodactis,Gem Anemone,MPS,Carnivore,Predation,Invertebrates / Crustaceans,Sessile,Medium,Radial
Bunodactis verrucosa,Gem Anemone,MPS,Carnivore,Predation,Invertebrates / Crustaceans,Sessile,Medium,Radial
Caenogastropoda,Caenogastropods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Calliblepharis,Red Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Calliblepharis ciliata,Eyelash Weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Calliblepharis jubata,Lance-Shaped Eyelash Weed,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Callionymus lyra,Common Dragonet,MPS,Carnivore,Predation,Invertebrates,Mobile,Large,Pisciforme
Calliopioidea,Amphipods,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Small,Cylindrical
Calliostoma zizyphinum,European Painted Top Shell,MPS,Omnivore,Predation / Grazing,Microalgae / Sessile organisms,Mobile,Small,Conoidal
Callista chione,Smooth Clam,SSF,Primary consumer,Suspension feeding  ,Bacteria / Plankton / Detritus,Sessile,Medium ,Bivalved
Callochiton septemvalvis,Smooth Mail-shell,MG,Omnivore,Predation / Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Articulate
Callophyllis,Red Algae,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Calvadosia,Stalked Jellyfish,MPS,Carnivore,Predation,Invertebrates,Sessile,Medium,Medusiform
Calvadosia campanulata,Stalked Jellyfish,MPS,Carnivore,Predation,Invertebrates,Sessile,Medium,Medusiform
Calyptraea chinensis,Chinese Hat Snail,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Cancer pagurus,Edible Crab,MPS,Carnivore,Predation,Molluscs / Carrion / Crustaceans,Mobile,Large,Articulate
Candelabrum cocksii,Cocks Candelabrum Hydroid,MPS,Carnivore,Predation,Crustaceans,Mobile,Medium,Aborescent
Cantharidinae,Top Shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Turbinate
Caprella,Skeleton Shrimp,SSF,Primary consumer ,Suspension feeding ,Bacteria / Plankton / Detritus,Sessile,Small,Cylindrical
Carcinidae,Crabs,MPS,Omnivore,Predation / Grazing,Animal and plant material,Mobile,Medium,Articulate
Carcinus,Green Crabs,MPS,Omnivore,Predation / Grazing,Animal and plant material,Mobile,Medium,Articulate
Carcinus maenas,European Green Crab,MPS,Omnivore,Predation / Grazing,Animal and plant material,Mobile,Medium,Articulate
Cardiidae,Cockles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Bivalved
Caridea,Caridean Shrimps,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae / Detritus,Mobile,Medium,Cylindrical
Caryophyllia smithii,Devonshire Cup Coral,SSF,Primary consumer ,Suspension feeding ,Bacteria / Plankton / Detritus,Sessile,Small,Cylindrical / Radial
Catenella caespitosa,Creeping Chain Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Caulacanthus,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Caulacanthus okamurae,Pom-pom Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Cellepora pumicosa,Orange Pumice Bryozoan,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Crustose hard
Ceramiales,Filamentous Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Ceramium,Banded Weeds,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Ceramium pallidum,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Ceramium virgatum,Red Hornweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Cerastoderma,Cockles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Cerastoderma edule,Common Cockle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Cereus pedunculatus,Daisy Anemone,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Radial
Cerianthus,Tube Dwelling Anemone,MPS,Carnivore,Predation,Zooplankton,Mobile,Medium,Vermiform unsegmented
Cerithioidea,Cerith Snails and Allies,MG,Omnivore,Predation / Grazing,Algae / Biofilm / Organic sediments,Mobile,Large,Turbinate
Chaetomorpha linum,Sea Hair,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Chamelea striatula,Striped Venus,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Cheilostomatida,Cheilostomatid Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small ,Crustose hard
Chelon labrosus,Thicklip Grey Mullet,MPS,Omnivore,Predation / Grazing,Invertebrates / Epiphytic algae,Mobile,Large,Pisciform
Chitonida,Chitons,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Articulate
Chitonida,Coat-of-Mail Shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Articulate
Chitonina,Chitons,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Articulate
Chlorophyta,Green Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Filamentous
Chondria coerulescens,Iridescent Cartilage Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Chondria dasyphylla,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Chondrus,Irish Moss,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Foliose
Chondrus crispus,Irish Moss,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Foliose
Chorda filum,Mermaid's Tresses,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Chromista,"Kelp, Diatoms, and Allies",TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Chthamalidae,Chthamalid Barnacles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Chthamalus,Acorn barnacles ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Chthamalus montagui,Montagu's Stellate Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Chylocladia verticillata,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Ciliata mustela,Five-bearded Rockling,MPS,Omnivore,Predation / Grazing,Crustaceans / Algae,Mobile,Medium,Pisciform
Ciona intestinalis,Sea Vase,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Cylindrical
Cirratulidae,Segmented Worms,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform segmented
Cirriformia capensis,Orange Thread-gilled Worm,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Large,Vermiform segmented
Cirripedia,Barnacles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Conical
Cladophora,Blanket Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Filamentous
Cladophora,Green Branched Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Filamentous
Cladophora columbiana,Green Pin-cushion Alga,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Filamentous
Cladophora glomerata,Blanket Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Filamentous
Cladophora rupestris,Rock Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Filamentous
Cladostephus,Brown Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Cladostephus spongiosus,Hairy Sand Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Aborescent
Clausinella fasciata,Banded Venus,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Small,Bivalved
Clava,Sea Squirts,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Cylindrical
Clavelina lepadiformis,Lightbulb Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Cylindrical
Clibanarius erythropus,Saint Piran's Hermit Crab,MPS,Omnivore,Predation / Grazing,Algae / Detritus ,Mobile,Small,Cylindrical
Clionaidae,Boring Sponges,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Large,Boring
Cnidaria,Cnidarians,MPS,Carnivore,Predation,Zooplankon / Crustaceans,Mobile,Medium,Radial
Codium,Codiums,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Mat
Codium fragile,Dead Man's Fingers,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Mat
Codium tomentosum,Velvet Horn,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Mat
Collemopsidium foveolatum,Marine Lichen,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Crustose hard
Colpomenia,Puff-ball Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Colpomenia peregrina,Oyster-thief,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Colpomenia sinuosa,Oyster-thief,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Colus gracilis,Common Spindle,MPS,Carnivore,Predation / Scavenging,Carrion / Bivalves,Mobile,Medium,Turbinate
Conopeum,Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Crustose hard
Corallina,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallina officinalis,Common Coralline,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallina officinalis,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinaceae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinales,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallineae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinoideae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Corallinophycidae,Coralline Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Crustose hard
Cordylecladia erecta,Red Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Corella eumyota,Orange-tipped Sea Squirt,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Ovate 
Coryphella gracilis,Slender Eolis,MPS,Carnivore,Predation / Scavenging,Carrion / Bivalves,Mobile,Medium,Turbinate
Coryphella lineata,Striped Fjordia,MPS,Carnivore,Predation / Scavenging,Carrion / Bivalves,Mobile,Medium,Turbinate
Coryphoblennius galerita,Montagu's Blenny,MG,Omnivore,Predation / Grazing,Algae / Biofilm / Organic sediments,Mobile,Medium,Pisciform
Corystes cassivelaunus,Masked Crab,MPS,Carnivore,Predation,Burrowing invertebrates,Mobile,Medium,Articulate
Crangon crangon,Brown Shrimp,MPS,Omnivore,Predation / Grazing,Animal and plant material,Mobile,Medium,Articulate
